Country_of_Operator,Operator_Owner,Purpose,Type_of_Orbit,Perigee_km,Apogee_km,Eccentricity,Period_minutes,Launch_Mass_kg,Dry_Mass_kg,Power_watts,Anticipated_Lifetime,Contractor,Country_of_Contractor,Launch_Site,Launch_Vehicle,longitude_radians_of_geo,Inclination_radians,military,geo_orbit
USA,Morehead State University,Technology Development,Sun-Synchronous,596.0,639.0,0.0030800000000000000,97.0,2.0,,,,Morehead State University,USA,Dombarovsky Launch Facility,Dnepr,,1.7069320080000000,FALSE,FALSE
Mexico,"QuetzSat, S. de R.L. de C.V. (leased from Echostar Technologies, LLC)",Communications,,35776.0,35795.0,0.00023000000000000000,1436.07,3287.0,2000.0,7000.0,12.0,Lockheed Martin Astro Space,USA,Xichang Satellite Launch Center,Long March 2E,1.346521518,0.000174533,FALSE,TRUE
USA,"Echostar Technologies, LLC",Communications,,35780.0,35792.0,0.00014,1436.0,4333.0,,10000.0,15.0,Lockheed Martin Commercial Space Systems,USA,Sea Launch,Zenit 3SL,-1.9210839080000000,0.001047198,FALSE,TRUE
USA,"Echostar Technologies, LLC",Communications,,35778.0,35793.0,0.00018,1436.1,5500.0,,20000.0,15.0,Space Systems/Loral,USA,Sea Launch,Zenit 3SL,-1.919338578,0.000523599,FALSE,TRUE
USA,"Echostar Technologies, LLC",Communications,,35782.0,35791.0,0.00011,1436.11,4328.0,,,18.0,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 5,-1.075646418,0.001047198,FALSE,TRUE
USA,"Echostar Technologies, LLC",Communications,,35785.0,35789.0,5E-05,1436.11,6384.0,3223.0,20000.0,15.0,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M,-2.07694181,0.000872665,FALSE,TRUE
USA,"Echostar Technologies, LLC",Communications,,35789.0,35803.0,0.00017000000000000000,1436.57,5521.0,,20000.0,15.0,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M,-1.07337749,0.00122173,FALSE,TRUE
USA,"Echostar Technologies, LLC",Communications,,35776.0,35796.0,0.00024000000000000000,1436.06,6658.0,3228.0,,15.0,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M,-1.07337749,0.000872665,FALSE,TRUE
USA,"Echostar Technologies, LLC",Communications,,35781.0,35794.0,0.00015,1436.13,6100.0,,16100.0,15.0,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,-1.869247629,0.000174533,FALSE,TRUE
USA,"Echostar Technologies, LLC",Communications,,35783.0,35790.0,8E-05,1436.11,3674.0,1700.0,10000.0,12.0,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Atlas 2 AS,-1.072679358,0.000349066,FALSE,TRUE
USA,"Echostar Technologies, LLC",Communications,,35775.0,35798.0,0.00027,1436.12,3700.0,1493.0,11000.0,12.0,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Atlas 2 AS,-1.269028899,0.00122173,FALSE,TRUE
USA,"Echostar Technologies, LLC",Communications,,35782.0,35789.0,8E-05,1436.07,4027.0,2200.0,13000.0,12.0,Space Systems/Loral,USA,Cape Canaveral,Atlas 3B,-2.074323816,0.000174533,FALSE,TRUE
USA,"Echostar Technologies, LLC",Communications,,35783.0,35789.0,7E-05,1436.1,4660.0,,10000.0,12.0,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton,-1.343379925,0.000174533,FALSE,TRUE
USA,"Echostar Technologies, LLC/Intelsat",Communications,,35775.0,35797.0,0.00026000000000000000,1436.08,4000.0,2500.0,,13.0,Space Systems/Loral,USA,Sea Launch,Zenit 3SL,-2.112197461,0.000174533,FALSE,TRUE
USA,Dish Network,Communications,,35773.0,35799.0,0.00031,1436.1,6600.0,,16000.0,15.0,Space Systems/Loral,USA,Cape Canaveral,Atlas 5,-1.6217599410000000,0.100007366,FALSE,TRUE
Italy,School of Aerospace Engineering - University of Rome,Technology Development,Sun-Synchronous,639.0,694.0,0.00391,98.1,10.0,,,,"Aerospace Engineering School, University of Rome",Italy,Dombarovsky Launch Facility,Dnepr 1,,1.713913325,FALSE,FALSE
Russia,Roshydromet - Planeta,Meteorology,,35323.0,35750.0,0.00509,1423.35,1766.0,,,10.0,Lavochkin,Russia,Baikonur Cosmodrome,Zenit,1.326450232,0.008028515,FALSE,TRUE
France,DGA (Arms Procurement Agency)/Centre National d'Etudes Spatiales (CNES),Electronic Intelligence/Technology Development,Polar,675.0,692.0,0.00121,98.43,120.0,,,,Astrium/Thales Alenia Space,France,Guiana Space Center,Soyuz 2/Fregat,,1.714087858,TRUE,FALSE
France,DGA (Arms Procurement Agency)/Centre National d'Etudes Spatiales (CNES),Electronic Intelligence/Technology Development,Polar,677.0,692.0,0.00106,98.46,120.0,,,,Astrium/Thales Alenia Space,France,Guiana Space Center,Soyuz 2/Fregat,,1.714087858,TRUE,FALSE
France,DGA (Arms Procurement Agency)/Centre National d'Etudes Spatiales (CNES),Electronic Intelligence/Technology Development,Polar,675.0,692.0,0.00121,98.43,120.0,,,,Astrium/Thales Alenia Space,France,Guiana Space Center,Soyuz 2/Fregat,,1.714087858,TRUE,FALSE
France,DGA (Arms Procurement Agency)/Centre National d'Etudes Spatiales (CNES),Electronic Intelligence/Technology Development,Polar,677.0,692.0,0.00106,98.45,120.0,,,,Astrium/Thales Alenia Space,France,Guiana Space Center,Soyuz 2/Fregat,,1.714087858,TRUE,FALSE
USA,NASA Earth Science Office,Earth Observation/Research,Sun-Synchronous,678.0,690.0,0.00085,98.4,572.0,,600.0,5.0,Swales Aerospace,USA,Vandenberg AFB,Delta 2,,1.712167996,FALSE,FALSE
USA/Canada/Japan,Earth Sciences Enterprise (NASA),Earth Science,Sun-Synchronous,702.0,703.0,7E-05,98.8,4854.0,,2530.0,6.0,TRW Space,USA,Vandenberg AFB,Atlas 2 AS,,1.713913325,FALSE,FALSE
USA,Goddard Space Flight Center/EOS Data and Operations System,Remote Sensing,Sun-Synchronous,702.0,703.0,7E-05,98.8,2967.0,,4600.0,5.0,TRW,USA,Vandenberg AFB,Delta 2,,1.713913325,FALSE,FALSE
USA/Japan/Brazil,NASA - Earth Science Enterprise/Japan Meteorological Agency/Brazilian Space Agency,Earth Observation,Sun-Synchronous,701.0,704.0,0.00021,98.8,2934.0,2832.0,4860.0,6.0,NASA/Jet Propulsion Laboratory/Japan Aerospace Exploration Agency/Equatorial Systems (Brazil),USA/Japan/Brazil,Vandenberg AFB,Delta,,1.713913325,FALSE,FALSE
Israel,"ImageSat International, NV/Ministry of Defense",Remote Sensing,Sun-Synchronous,530.0,547.0,0.00123,95.4,240.0,,,6.0,Israel Aircraft Industries (IAI),Israel,Svobodny Cosmodrome,Start 1,,1.70344135,TRUE,FALSE
Israel,"ImageSat International, NV/Ministry of Defense",Remote Sensing,Sun-Synchronous,508.0,514.0,0.00044,94.8,350.0,,800.0,10.0,Israel Aircraft Industries (IAI),Israel,Svobodny Cosmodrome,Start 1,,1.699950691,TRUE,FALSE
Italy,Politecnico di Torino,Technology Development,,306.0,1313.0,0.07013,101.08,,1.0,,1.0,Politecnico di Torino,Italy,Guiana Space Center,Vega,,1.212654764,FALSE,FALSE
Estonia,University of Tartu,Technology Development,Sun-Synchronous,658.0,671.0,0.0009200000000000000,98.03,1.0,,,1.0,University of Tartu,Estonia,Guiana Space Center,Vega,,1.712691595,FALSE,FALSE
Turkey/France,Eurasiasat SAM/Alcatel Space,Communications,,35761.0,35810.0,0.00058,1436.06,3535.0,1900.0,9000.0,15.0,Alcatel Space Industries,France,Guiana Space Center,Ariane 4,0.734434549,0.000349066,FALSE,TRUE
Multinational,Europe*Star (Altacel Loral Global Alliance),Communications,,35776.0,35796.0,0.00024000000000000000,1436.09,4167.0,1729.0,12000.0,18.0,Alcatel Space Industries,France,Guiana Space Center,Ariane 44LP,0.786096295,0.0,FALSE,TRUE
Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Communications,,35781.0,35822.0,0.00049,1436.09,5900.0,,,15.0,Alcatel Alenia Space,France,Baikonur Cosmodrome,Proton M,0.174532925,0.000523599,FALSE,TRUE
Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Communications,,35768.0,35805.0,0.00044,1436.1,2700.0,1550.0,5100.0,15.0,Alenia Spazio,Italy,Guiana Space Center,Ariane 5G,-0.21694442600000000,0.001919862,FALSE,TRUE
Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Communications,,35779.0,35795.0,0.00019000000000000000,1436.12,5400.0,,,,Thales Alenia Space,France,Xichang Satellite Launch Center,Long March 3B,0.27925268,0.003490659,FALSE,TRUE
Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Communications,,35762.0,35810.0,0.00057,1436.1,2885.0,1310.0,6000.0,14.0,Matra Marconi Space (Astrium),France/UK/Germany,Guiana Space Center,Ariane 4,-0.125489173,0.000349066,FALSE,TRUE
Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Communications,,35754.0,35817.0,0.00075,1436.06,2500.0,,5600.0,,Alcatel Space/NPO PM (Applied Mechanics),France/Russia,Baikonur Cosmodrome,Proton K,0.627620399,0.00122173,FALSE,TRUE
Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Communications,,35772.0,35799.0,0.00032,1436.1,5000.0,,13000.0,16.0,Alcatel Alenia Space,France/Italy,Baikonur Cosmodrome,Proton M,3.0030135110000000,0.000174533,FALSE,TRUE
Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Communications,,35770.0,35802.0,0.00038000000000000000,1436.09,2490.0,1380.0,5800.0,12.0,Alcatel Space Industries,France,Guiana Space Center,Ariane 4,0.837758041,0.00122173,FALSE,TRUE
Multinational,European Telecommunications Satellite Consortium (EUTELSAT)/Es'hailSat,Communications,,35725.0,35767.0,0.0005,1434.03,,,,15.0,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,0.445058959,0.0013962630000000000,FALSE,TRUE
Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Communications,,35780.0,35790.0,0.00012000000000000000,1436.04,3170.0,1900.0,5900.0,12.0,Alcatel Space Industries,France,Cape Canaveral,Atlas 2 AS,0.445058959,0.000349066,FALSE,TRUE
Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Communications,,35788.0,35794.0,7E-05,1436.1,2950.0,1375.0,5900.0,12.0,Alcatel Space Industries,France,Guiana Space Center,Ariane 5,0.498466034,0.00122173,FALSE,TRUE
Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Communications,,35781.0,35790.0,0.00011,1436.06,1525.0,1300.0,1600.0,10.0,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 5,0.578402114,0.000872665,FALSE,TRUE
Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Communications,,35766.0,35806.0,0.00047000000000000000,1436.08,3190.0,1380.0,6000.0,12.0,Alcatel Space Industries,France,Cape Canaveral,Atlas 3A,0.629889327,0.00122173,FALSE,TRUE
Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Communications,,35786.0,35787.0,1E-05,1436.09,5600.0,,13200.0,15.0,Thales Alenia Space,France,Baikonur Cosmodrome,Breeze M,0.628318531,0.00122173,FALSE,TRUE
Multinational,Eutelsat (leased from Chinasat),Communications,,35778.0,35793.0,0.00018,1436.08,2200.0,,,8.0,Chinese Academy of Space Technology (CAST),China (PR),Xichang Satellite Launch Center,Long March 3A,0.027925268,0.000174533,FALSE,TRUE
Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Communications,,35766.0,35806.0,0.00047000000000000000,1436.07,4892.0,2240.0,11000.0,15.0,EADS Astrium,France,Guiana Space Center,Ariane 5 ECA,-0.00122173,0.001047198,FALSE,TRUE
Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Communications,,35784.0,35794.0,0.00012000000000000000,1436.21,5404.0,,,15.0,Thales Alenia Space,France,Baikonur Cosmodrome,Proton M,0.052359878,0.000523599,FALSE,TRUE
Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Communications,,35757.0,35815.0,0.0006900000000000000,1436.07,2915.0,1700.0,,14.0,Matra Marconi Space (Astrium),France/UK/Germany,Cape Canaveral,Delta 2,0.158475896,0.0013962630000000000,FALSE,TRUE
Multinational,European Telecommunications Satellite Cosorrtium (EUTELSAT),Communications,,35777.0,35797.0,0.00024000000000000000,1436.12,5102.0,2060.0,,15.0,Thales Alenia Space,Italy,Guiana Space Center,Ariane 5 ECA,0.837758041,0.001570796,FALSE,TRUE
Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Communications,,35769.0,35805.0,0.00043,1436.08,4050.0,1805.0,11000.0,15.0,Alcatel Space Industries,France,Guiana Space Center,Ariane 5,-0.086044732,0.000698132,FALSE,TRUE
Multinational,European Telecommunications Satellite Consoritum (EUTELSAT)/Nilesat,Communications,,35774.0,35799.0,0.0003,1436.09,4600.0,,12000.0,15.0,Astrium,France,Sea Launch (Odyssey),Zenit 3SL,-0.122173048,0.001047198,FALSE,TRUE
Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Communications,,35780.0,35800.0,0.00024000000000000000,1436.28,5250.0,,,15.0,EADS Astrium,France,Sea Launch (Odyssey),Zenit 3SL,1.2217304760000000,0.001047198,FALSE,TRUE
Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Communications,,35769.0,35802.0,0.00039,1436.07,4300.0,2000.0,,15.0,Astrium,France,Baikonur Cosmodrome,Proton M,0.123220245,0.001047198,FALSE,TRUE
Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Communications,,35766.0,35806.0,0.00047000000000000000,1436.1,3150.0,1368.0,7400.0,15.0,Alcatel Space Industries,France,Guiana Space Center,Ariane 4,-0.141197136,0.001047198,FALSE,TRUE
Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Communications,,35775.0,35799.0,0.00028,1436.1,4100.0,1740.0,10000.0,15.0,Alcatel Alenia Space,France,Guiana Space Center,Ariane 5,-0.523773309,0.00122173,FALSE,TRUE
Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Communications,,35756.0,35815.0,0.0007,1436.06,3800.0,1900.0,9000.0,12.0,Alcatel Space Industries,France,Cape Canaveral,Atlas 5,0.13962634,0.001570796,FALSE,TRUE
Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Communications,,35759.0,35812.0,0.00063,1436.06,4900.0,,14000.0,15.0,EADS Space,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M/Breeze M,0.228289066,0.000349066,FALSE,TRUE
Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Communications,,35786.0,35787.0,1E-05,1436.09,4880.0,2338.0,14500.0,15.0,EADS Astrium,France,Guiana Space Center,Ariane 5,0.01727876,0.001047198,FALSE,TRUE
Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Communications,,35714.0,35856.0,0.00168,1436.01,6150.0,3200.0,11000.0,15.0,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton,0.157079633,0.002268928,FALSE,TRUE
Canada,exactEarth,Maritime Tracking,Sun-Synchronous,806.0,821.0,0.0010400000000000000,101.2,100.0,,,,Surrey Satellite Technologies Ltd.,United Kingdom,Baikonur Cosmodrome,Soyuz-Fregat,,1.7278759590000000,FALSE,FALSE
Russia/Multinational,Russian Satellite Communications Company (Intersputnik)/EUTELSAT,Communications,,35781.0,35790.0,0.00011,1436.06,2600.0,,6000.0,12.0,NPO-PM/Alcatel,Russia/France,Baikonur Cosmodrome,Proton K,0.925722635,0.000349066,FALSE,TRUE
Russia,Russian Satellite Communications Company (Intersputnik),Communications,,35783.0,35790.0,8E-05,1436.11,2600.0,,2500.0,10.0,NPO-PM/Alcatel,Russia,Baikonur Cosmodrome,Proton K,1.7941984710000000,0.047996554000000000,FALSE,TRUE
Russia,Russian Satellite Communications Company (Intersputnik),Communications,,35774.0,35798.0,0.00028,1436.1,2600.0,,6000.0,0.5,NPO-PM/Alcatel,Russia,Baikonur Cosmodrome,Proton K,0.243822497,0.000349066,FALSE,TRUE
Russia,Russian Satellite Communications Company (Intersputnik),Communications,,35785.0,35788.0,4E-05,1436.1,2542.0,,6000.0,12.0,NPO-PM/Alcatel,Russia/France,Baikonur Cosmodrome,Proton K,1.396787,0.000698132,FALSE,TRUE
Russia,Russian Satellite Communications Company (Intersputnik),Communications,,35777.0,35795.0,0.00021,1436.1,2600.0,,4200.0,12.0,NPO-PM/Alcatel,Russia/France,Baikonur Cosmodrome,Proton K,2.4464280130000000,0.001570796,FALSE,TRUE
Russia,Russian Satellite Communications Company (Intersputnik),Communications,,35782.0,35791.0,0.00011,1436.1,2600.0,,,12.0,NPO-PM/Thales Alenia Space,Russia/France,Baikonur Cosmodrome,Proton M,1.684766327,0.000872665,FALSE,TRUE
Russia,Russian Satellite Communications Company (Intersputnik),Communications,,35987.0,35995.0,9E-05,1446.57,2532.0,,,12.0,NPO-PM/Thales Alenia Space,Russia/France,Baikonur Cosmodrome,Proton M,-0.19198621800000000,0.001919862,FALSE,TRUE
Russia,Russian Satellite Communications Company (Intersputnik),Communications,,35420.0,35940.0,0.00618,1430.6,3400.0,,,15.0,OAO-ISS,Russia,Baikonur Cosmodrome,Proton M,2.443460953,0.0013962630000000000,FALSE,TRUE
USA,US Air Force Academy,Technology Development,,538.0,540.0,0.00014,95.4,46.0,,,,US Air Force Academy,USA,Cape Canaveral,Atlas 5,,0.617846555,TRUE,FALSE
USA,University of Texas - Austin,Technology Development,Sun-Synchronous,627.0,654.0,0.00193,97.54,55.0,,,,University of Texas - Austin,USA,Kodiak Launch Complex,Minotaur 4,,1.256113463,FALSE,FALSE
China (PR),Chinese Academy of Space Technology (CAST),Technology Development,,488.0,500.0,0.0008700000000000000,94.49,,,,,,China (PR),Taiyuan Launch Center,Long March 2C,,1.6990780270000000,FALSE,FALSE
China (PR),Chinese Academy of Space Technology (CAST),Technology Development,,488.0,500.0,0.0008700000000000000,94.49,,,,,,China (PR),Taiyuan Launch Center,Long March 2C,,1.6990780270000000,FALSE,FALSE
China (PR),China Meteorological Administration,Earth Science,,35777.0,35791.0,0.00017000000000000000,1436.0,1390.0,620.0,,3.0,China Aerospace Corporation,China (PR),Xichang Satellite Launch Center,Long March 3A,1.509884336,0.013439035,FALSE,TRUE
China (PR),China Meteorological Administration,Earth Science,,35767.0,35803.0,0.00043,1436.04,1390.0,620.0,,3.0,Shanghai Academy of Space Flight Technology,China (PR),Xichang Satellite Launch Center,Long March 3A,2.157052423,0.045553093000000000,FALSE,TRUE
China (PR),China Meteorological Administration,Earth Science,,35760.0,35816.0,0.00066,1436.19,1390.0,620.0,,3.0,Shanghai Academy of Space Flight Technology,China (PR),Xichang Satellite Launch Center,Long March 3A,1.832595715,0.038222711,FALSE,TRUE
China (PR),China Meteorological Administration,Earth Science,Sun-Synchronous,820.0,835.0,0.0010400000000000000,101.5,2300.0,,,,Shanghai Academy of Space Flight Technology,China (PR),Taiyuan Launch Center,Long March 4C,,1.720894642,FALSE,FALSE
China (PR),China Meteorological Administration,Earth Science,Sun-Synchronous,827.0,828.0,7E-05,101.5,2300.0,,,,Shanghai Academy of Space Flight Technology,China (PR),Taiyuan Launch Center,Long March 4C,,1.7243853010000000,FALSE,FALSE
China (PR),China Meteorological Administration,Earth Science,,827.0,828.0,7E-05,101.45,2300.0,,,,Shanghai Academy of Space Flight Technology,China (PR),Taiyuan Launch Center,Long March 4C,,1.7245598340000000,FALSE,FALSE
USA,NASA/GSFC,Astrophysics,,537.0,556.0,0.00137,95.6,4303.0,,,,General Dynamics,USA,Cape Canaveral,Delta 2,,0.44680428900000000,FALSE,FALSE
USA,National Reconnaissance Office (NRO),Reconnaissance,,1101.0,1107.0,0.0004,107.35,,,,,National Reconnaissance Office (NRO),USA,Vandenberg AFB,Atlas 5,,2.146580447,TRUE,FALSE
USA,National Reconnaissance Office (NRO),Reconnaissance,,1068.0,1107.0,0.0026100000000000000,107.0,,,,,National Reconnaissance Office (NRO),USA,Vandenberg AFB,Delta 4,,2.14675498,TRUE,FALSE
USA,National Reconnaissance Office (NRO),Reconnaissance,,1066.0,1081.0,0.00101,106.7,,,,,National Reconnaissance Office (NRO),USA,Vandenberg AFB,Atlas 5,,2.14675498,TRUE,FALSE
USA,"Firebird Consortium (Montana State Univ., Univ. of New Hampshire, Aerospace Corp., Los Alamos National Laboratory)",Space Science,,443.0,886.0,0.03149,98.0,2.0,,,3.0,Montana State University,USA,Vandenberg AFB,Atlas 5,,2.09963109,FALSE,FALSE
USA,"Firebird Consortium (Montana State Univ., Univ. of New Hampshire, Aerospace Corp., Los Alamos National Laboratory)",Space Science,,443.0,886.0,0.03149,98.0,2.0,,,3.0,Montana State University,USA,Vandenberg AFB,Atlas 5,,2.09963109,FALSE,FALSE
USA,NASA/Sienna College/Univ. of Maryland,Earth Science,,500.0,506.0,0.00044,94.68,3.0,,,1.0,National Science Foundation,USA,Wallops Island Flight Facility,Minotaur 1,,0.70703288,FALSE,FALSE
USA,US Navy,Communications,,35745.0,35829.0,0.001,1436.13,2310.0,1884.0,,5.0,"TRW, Defense and Space Systems Group",USA,Cape Canaveral,Atlas Centaur,-0.257261532,0.156556034,TRUE,TRUE
Taiwan,National Space Program Office (NSPO),Remote Sensing,Sun-Synchronous,890.0,893.0,0.00021,102.8,764.0,631.0,600.0,5.0,Astrium/NSPO,France/UK/Germany/Taiwan,Vandenberg AFB,Taurus XL,,1.7278759590000000,TRUE,FALSE
USA,Los Alamos National Labs/DOE,Earth Observation,Intermediate,790.0,823.0,0.0023,101.0,215.0,41.0,55.0,3.0,Los Alamos National Lab/Sandia National Lab,USA,Vandenberg AFB,Pegasus XL,,1.2217304760000000,FALSE,FALSE
Netherlands,AMSAT-UK,Communications,,594.0,683.0,0.00635,97.4,1.0,,,,AMSAT/UK-AMSAT/NL,UK/Netherlands,Dombarovsky Launch Facility,Dnepr,,1.7069320080000000,FALSE,FALSE
USA,"PanAmSat (Intelsat, Ltd.)",Communications,,35785.0,35795.0,0.00012000000000000000,1436.11,4488.0,2775.0,10400.0,14.0,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 4,-0.968657735,0.000872665,FALSE,TRUE
USA,"PanAmSat (Intelsat, Ltd.)",Communications,,35775.0,35796.0,0.00025,1436.07,1760.0,800.0,,15.0,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5,-2.145009651,0.000872665,FALSE,TRUE
USA/Japan,"PanAmSat (Intelsat, Ltd.)/Sky Perfect JSAT Corp.",Communications,,35781.0,35790.0,0.00011,1436.07,4060.0,2630.0,8600.0,15.0,Boeing Satellite Systems,USA,Sea Launch (Odyssey),Zenit 3,-2.216044551,0.000174533,FALSE,TRUE
USA,"PanAmSat (Intelsat, Ltd.)",Communications,,35776.0,35795.0,0.00023000000000000000,1436.07,2086.0,,4700.0,15.0,Orbital Sciences Corp.,USA,Baikonur Cosmodrome,Soyuz-Fregat,-2.180963433,0.000174533,FALSE,TRUE
USA,"PanAmSat (Intelsat, Ltd.)",Communications,,35776.0,35795.0,0.00023000000000000000,1436.07,2033.0,,4700.0,15.0,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5,-2.320764306,0.001047198,FALSE,TRUE
USA,"PanAmSat (Intelsat, Ltd.)",Communications,,35775.0,35798.0,0.00027,1436.1,4640.0,,10000.0,15.0,Space Systems/Loral,USA,Sea Launch (Odyssey),Zenit 3SL,-1.728225025,0.000174533,FALSE,TRUE
USA,"Intelsat, Ltd.",Communications,,35774.0,35799.0,0.0003,1436.1,4100.0,,9500.0,15.0,Thales Alenia Space,France/Italy,Guiana Space Center,Ariane 5 ECA,-1.588424152,0.000349066,FALSE,TRUE
USA,"Intelsat, Ltd.",Communications,,35774.0,35798.0,0.00028,1436.1,4642.0,,,15.0,Space Systems/Loral,USA,Sea Launch (Odyssey),Zenit 3SL,-2.147104046,0.000349066,FALSE,TRUE
USA,"Intelsat, Ltd.",Communications,,35776.0,35796.0,0.00024000000000000000,1436.1,4690.0,,,15.0,Space Systems/Loral,USA,Sea Launch (Odyssey),Zenit 3SL,-1.694365638,0.000872665,FALSE,TRUE
USA,"Intelsat, Ltd.",Communications,,35771.0,35801.0,0.00036,1436.08,3515.0,,,13.0,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton K,-1.624727001,0.000523599,FALSE,TRUE
USA,"Intelsat, Ltd.",Communications,,35778.0,35795.0,0.0002,1436.11,3765.0,1469.0,8100.0,13.0,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton K,-1.6233307370000000,0.000174533,FALSE,TRUE
USA,"Intelsat, Ltd.",Communications,,35776.0,35794.0,0.00021,1436.06,3790.0,1537.0,,13.0,Space Systems/Loral,USA,Guiana Space Center,Ariane 44LP,-2.250253005,0.0,FALSE,TRUE
USA,"Intelsat, Ltd.",Communications,,35775.0,35798.0,0.00027,1436.1,5493.0,,16000.0,13.0,Space Systems/Loral,USA,Sea Launch (Odyssey),Zenit 3SL,-1.552644903,0.000174533,FALSE,TRUE
USA,"PanAmSat (Intelsat, Ltd.)",Communications,,35784.0,35788.0,5E-05,1436.11,4860.0,2873.0,18000.0,15.0,Boeing Satellite Systems,USA,Sea Launch (Odyssey),Zenit 3SL,-1.658411855,0.000174533,FALSE,TRUE
ESA,European Space Agency,Navigation/Global Positioning,,23242.0,23307.0,0.0011,846.98,700.0,,1420.0,12.0,Astrium/Thales Alenia Space,Germany/UK/Italy,Guiana Space Center,Soyuz-Fregat,,0.954171502,FALSE,FALSE
ESA,European Space Agency,Navigation/Global Positioning,,23240.0,23306.0,0.0011100000000000000,846.88,700.0,,1420.0,12.0,Astrium/Thales Alenia Space,Germany/UK/Italy,Guiana Space Center,Soyuz-Fregat,,0.954346035,FALSE,FALSE
ESA,European Space Agency,Navigation/Global Positioning,,23214.0,23233.0,0.00032,844.76,700.0,,1420.0,12.0,EADS Astrium,Germany/UK/Italy,Guiana Space Center,Soyuz-Fregat,,0.965865208,FALSE,FALSE
ESA,European Space Agency,Navigation/Global Positioning,,23217.0,23227.0,0.00017000000000000000,844.69,700.0,,1420.0,12.0,EADS Astrium,Germany/UK/Italy,Guiana Space Center,Soyuz-Fregat,,0.965167076,FALSE,FALSE
China (PR),Shanghai Academy of Spaceflight Technology (SAST),Remote Sensing,,630.0,654.0,0.0017100000000000000,97.56,1000.0,,,0.5,Shanghai Academy of Space Flight Technology,China (PR),Jiuquan Satellite Launch Center,Chang Zheng 2D,,1.711644397,FALSE,FALSE
Russia,Ministry of Defense,Communications,,35782.0,35790.0,9E-05,1436.1,5000.0,,,,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M,1.3945180720000000,0.001570796,TRUE,TRUE
Indonesia/Philippines/Thailand,Asia Cellular Satellite,Communications,,35774.0,35801.0,0.00032,1436.16,4291.0,2500.0,14000.0,12.0,Lockheed Martin Missiles and Space,USA,Baikonur Cosmodrome,Proton,2.147278579,0.021293017,FALSE,TRUE
Denmark,GomSpace ApS,Technology Development,Sun-Synchronous,593.0,819.0,0.015970000000000000,98.9,3.0,,,,GomSpace/University of Aalborg,Denmark,Dombarovsky Launch Facility,Dnepr,,1.705186679,FALSE,FALSE
USA,Bigelow Aerospace,Technology Development,,522.0,569.0,0.0034,95.6,1360.0,,,5.0,Bigelow Aerospace,USA,Dombarovsky Launch Facility,Dnepr,,1.125737368,FALSE,FALSE
USA,Bigelow Aerospace,Technology Development,,508.0,586.0,0.00564,95.6,1360.0,,,5.0,Bigelow Aerospace,USA,Yasny Cosmodrome,Dnepr,,1.125737368,FALSE,FALSE
USA,GeoEye,Remote Sensing,Sun-Synchronous,671.0,686.0,0.00106,98.3,1955.0,,,7.0,General Dynamics,USA,Vandenberg AFB,Delta 2,,1.712167996,FALSE,FALSE
